alpha,mu,x0,x1
0.9973,0.0,-10.0,2.7899999999997274
0.9973,0.01,-10.0,2.799999999999727
0.9973,0.02,-10.0,2.809999999999727
0.9973,0.03,-10.0,2.8199999999997267
0.9973,0.04,-10.0,2.8299999999997265
0.9973,0.05,-10.0,2.8399999999997263
0.9973,0.06,-10.0,2.849999999999726
0.9973,0.07,-10.0,2.859999999999726
0.9973,0.08,-10.0,2.8699999999997257
0.9973,0.09,-10.0,2.8799999999997254
0.9973,0.1,-10.0,2.8899999999997252
0.9973,0.11,-10.0,2.899999999999725
0.9973,0.12,-10.0,2.909999999999725
0.9973,0.13,-10.0,2.9199999999997246
0.9973,0.14,-10.0,2.9299999999997244
0.9973,0.15,-10.0,2.939999999999724
0.9973,0.16,-10.0,2.949999999999724
0.9973,0.17,-10.0,2.9599999999997237
0.9973,0.18,-10.0,2.9699999999997235
0.9973,0.19,-10.0,2.9799999999997233
0.9973,0.2,-10.0,2.989999999999723
0.9973,0.21,-10.0,2.999999999999723
0.9973,0.22,-10.0,3.0099999999997227
0.9973,0.23,-10.0,3.0199999999997225
0.9973,0.24,-10.0,3.0299999999997222
0.9973,0.25,-10.0,3.039999999999722
0.9973,0.26,-10.0,3.049999999999722
0.9973,0.27,-10.0,3.0599999999997216
0.9973,0.28,-10.0,3.0699999999997214
0.9973,0.29,-10.0,3.079999999999721
0.9973,0.3,-10.0,3.089999999999721
0.9973,0.31,-10.0,3.0999999999997208
0.9973,0.32,-10.0,3.1099999999997205
0.9973,0.33,-10.0,3.1199999999997203
0.9973,0.34,-10.0,3.12999999999972
0.9973,0.35000000000000003,-10.0,3.13999999999972
0.9973,0.36,-10.0,3.1499999999997197
0.9973,0.37,-10.0,3.1599999999997195
0.9973,0.38,-10.0,3.1699999999997193
0.9973,0.39,-9.780000000000005,3.179999999999719
0.9973,0.4,-9.53000000000001,3.189999999999719
0.9973,0.41000000000000003,-9.280000000000015,3.1999999999997186
0.9973,0.42,-9.05000000000002,3.2099999999997184
0.9973,0.43,-8.830000000000025,3.219999999999718
0.9973,0.44,-8.62000000000003,3.229999999999718
0.9973,0.45,-8.420000000000034,3.2399999999997178
0.9973,0.46,-8.230000000000038,3.2499999999997176
0.9973,0.47000000000000003,-8.040000000000042,3.2599999999997173
0.9973,0.48,-7.860000000000046,3.269999999999717
