alpha,mu,x0,x1
0.9999,0.0,-10.0,3.7199999999997075
0.9999,0.01,-10.0,3.7299999999997073
0.9999,0.02,-10.0,3.739999999999707
0.9999,0.03,-10.0,3.749999999999707
0.9999,0.04,-10.0,3.7599999999997067
0.9999,0.05,-10.0,3.7699999999997065
0.9999,0.06,-10.0,3.7799999999997063
0.9999,0.07,-10.0,3.789999999999706
0.9999,0.08,-10.0,3.799999999999706
0.9999,0.09,-10.0,3.8099999999997056
0.9999,0.1,-10.0,3.8199999999997054
0.9999,0.11,-10.0,3.829999999999705
0.9999,0.12,-10.0,3.839999999999705
0.9999,0.13,-10.0,3.8499999999997048
0.9999,0.14,-10.0,3.8599999999997046
0.9999,0.15,-10.0,3.8699999999997043
0.9999,0.16,-10.0,3.879999999999704
0.9999,0.17,-10.0,3.889999999999704
0.9999,0.18,-10.0,3.8999999999997037
0.9999,0.19,-10.0,3.9099999999997035
0.9999,0.2,-10.0,3.9199999999997033
0.9999,0.21,-10.0,3.929999999999703
0.9999,0.22,-10.0,3.939999999999703
0.9999,0.23,-10.0,3.9499999999997026
0.9999,0.24,-10.0,3.9599999999997024
0.9999,0.25,-10.0,3.969999999999702
0.9999,0.26,-10.0,3.979999999999702
0.9999,0.27,-10.0,3.989999999999702
0.9999,0.28,-10.0,3.9999999999997016
0.9999,0.29,-10.0,4.009999999999701
0.9999,0.3,-10.0,4.019999999999701
0.9999,0.31,-10.0,4.029999999999701
0.9999,0.32,-10.0,4.039999999999701
0.9999,0.33,-10.0,4.0499999999997005
0.9999,0.34,-10.0,4.0599999999997
0.9999,0.35000000000000003,-10.0,4.0699999999997
0.9999,0.36,-10.0,4.0799999999997
0.9999,0.37,-10.0,4.0899999999997
0.9999,0.38,-10.0,4.099999999999699
0.9999,0.39,-10.0,4.109999999999699
0.9999,0.4,-10.0,4.119999999999699
0.9999,0.41000000000000003,-10.0,4.129999999999699
0.9999,0.42,-10.0,4.139999999999699
0.9999,0.43,-10.0,4.149999999999698
0.9999,0.44,-10.0,4.159999999999698
0.9999,0.45,-10.0,4.169999999999698
0.9999,0.46,-10.0,4.179999999999698
0.9999,0.47000000000000003,-10.0,4.1899999999996975
0.9999,0.48,-10.0,4.199999999999697
0.9999,0.49,-10.0,4.209999999999697
0.9999,0.5,-10.0,4.219999999999697
0.9999,0.51,-10.0,4.229999999999697
0.9999,0.52,-10.0,4.2399999999996965
0.9999,0.53,-10.0,4.249999999999696
0.9999,0.54,-10.0,4.259999999999696
0.9999,0.55,-10.0,4.269999999999696
0.9999,0.56,-10.0,4.279999999999696
0.9999,0.5700000000000001,-10.0,4.289999999999695
0.9999,0.58,-10.0,4.299999999999695
0.9999,0.59,-10.0,4.309999999999695
0.9999,0.6,-10.0,4.319999999999695
0.9999,0.61,-10.0,4.3299999999996945
0.9999,0.62,-10.0,4.339999999999694
0.9999,0.63,-10.0,4.349999999999694
0.9999,0.64,-10.0,4.359999999999694
0.9999,0.65,-10.0,4.369999999999694
0.9999,0.66,-10.0,4.3799999999996935
0.9999,0.67,-9.99,4.389999999999693
0.9999,0.68,-9.830000000000004,4.399999999999693
0.9999,0.6900000000000001,-9.680000000000007,4.409999999999693
0.9999,0.7000000000000001,-9.53000000000001,4.419999999999693
0.9999,0.71,-9.390000000000013,4.429999999999692
0.9999,0.72,-9.240000000000016,4.439999999999692
0.9999,0.73,-9.110000000000019,4.449999999999692
0.9999,0.74,-8.980000000000022,4.459999999999692
0.9999,0.75,-8.850000000000025,4.4699999999996916
0.9999,0.76,-8.720000000000027,4.479999999999691
0.9999,0.77,-8.60000000000003,4.489999999999691
0.9999,0.78,-8.480000000000032,4.499999999999691
0.9999,0.79,-8.360000000000035,4.509999999999691
0.9999,0.8,-8.240000000000038,4.5199999999996905
0.9999,0.81,-8.13000000000004,4.52999999999969
