alpha,mu,x0,x1
0.9545,0.0,-10.0,1.6999999999997506
0.9545,0.01,-10.0,1.7099999999997504
0.9545,0.02,-10.0,1.7199999999997502
0.9545,0.03,-10.0,1.72999999999975
0.9545,0.04,-10.0,1.7399999999997497
0.9545,0.05,-10.0,1.7499999999997495
0.9545,0.06,-10.0,1.7599999999997493
0.9545,0.07,-10.0,1.769999999999749
0.9545,0.08,-10.0,1.779999999999749
0.9545,0.09,-10.0,1.7899999999997487
0.9545,0.1,-10.0,1.7999999999997485
0.9545,0.11,-10.0,1.8099999999997483
0.9545,0.12,-10.0,1.819999999999748
0.9545,0.13,-10.0,1.8299999999997478
0.9545,0.14,-10.0,1.8399999999997476
0.9545,0.15,-9.55000000000001,1.8499999999997474
0.9545,0.16,-8.950000000000022,1.8599999999997472
0.9545,0.17,-8.410000000000034,1.869999999999747
0.9545,0.18,-7.930000000000044,1.8799999999997468
0.9545,0.19,-7.510000000000053,1.8899999999997465
0.9545,0.2,-7.120000000000061,1.8999999999997463
0.9545,0.21,-6.770000000000069,1.9099999999997461
0.9545,0.22,-6.450000000000076,1.919999999999746
0.9545,0.23,-6.160000000000082,1.9299999999997457
0.9545,0.24,-5.900000000000087,1.9399999999997455
0.9545,0.25,-5.650000000000093,1.9499999999997453
0.9545,0.26,-5.420000000000098,1.959999999999745
0.9545,0.27,-5.210000000000102,1.9699999999997448
0.9545,0.28,-5.020000000000106,1.9799999999997446
0.9545,0.29,-4.83000000000011,1.9899999999997444
0.9545,0.3,-4.660000000000114,1.9999999999997442
0.9545,0.31,-4.500000000000117,2.009999999999744
0.9545,0.32,-4.35000000000012,2.019999999999744
0.9545,0.33,-4.210000000000123,2.0299999999997436
0.9545,0.34,-4.070000000000126,2.0399999999997434
0.9545,0.35000000000000003,-3.950000000000129,2.049999999999743
0.9545,0.36,-3.8300000000001315,2.059999999999743
0.9545,0.37,-3.720000000000134,2.0699999999997427
0.9545,0.38,-3.610000000000136,2.0799999999997425
0.9545,0.39,-3.5100000000001383,2.0899999999997423
0.9545,0.4,-3.4100000000001405,2.099999999999742
0.9545,0.41000000000000003,-3.3100000000001426,2.109999999999742
0.9545,0.42,-3.2300000000001443,2.1199999999997416
0.9545,0.43,-3.1400000000001462,2.1299999999997414
0.9545,0.44,-3.060000000000148,2.139999999999741
0.9545,0.45,-2.9800000000001496,2.149999999999741
0.9545,0.46,-2.910000000000151,2.159999999999741
0.9545,0.47000000000000003,-2.830000000000153,2.1699999999997406
0.9545,0.48,-2.770000000000154,2.1799999999997404
0.9545,0.49,-2.7000000000001556,2.18999999999974
0.9545,0.5,-2.630000000000157,2.19999999999974
0.9545,0.51,-2.6100000000001575,2.2099999999997397
0.9545,0.52,-2.550000000000159,2.2299999999997393
0.9545,0.53,-2.49000000000016,2.239999999999739
0.9545,0.54,-2.4300000000001614,2.249999999999739
0.9545,0.55,-2.3800000000001624,2.2599999999997387
0.9545,0.56,-2.3400000000001633,2.2699999999997384
0.9545,0.5700000000000001,-2.310000000000164,2.289999999999738
0.9545,0.58,-2.260000000000165,2.299999999999738
0.9545,0.59,-2.210000000000166,2.3099999999997376
0.9545,0.6,-2.1800000000001667,2.3199999999997374
0.9545,0.61,-2.1400000000001675,2.339999999999737
0.9545,0.62,-2.1000000000001684,2.3499999999997367
0.9545,0.63,-2.0600000000001693,2.3599999999997365
0.9545,0.64,-2.0400000000001697,2.3699999999997363
0.9545,0.65,-2.0000000000001705,2.389999999999736
0.9545,0.66,-1.9600000000001714,2.3999999999997357
0.9545,0.67,-1.9400000000001718,2.4099999999997355
0.9545,0.68,-1.9100000000001724,2.429999999999735
0.9545,0.6900000000000001,-1.8700000000001733,2.439999999999735
0.9545,0.7000000000000001,-1.8500000000001737,2.4499999999997346
0.9545,0.71,-1.8200000000001744,2.469999999999734
0.9545,0.72,-1.790000000000175,2.479999999999734
0.9545,0.73,-1.7700000000001754,2.4899999999997338
0.9545,0.74,-1.740000000000176,2.5099999999997333
0.9545,0.75,-1.7100000000001767,2.519999999999733
0.9545,0.76,-1.700000000000177,2.529999999999733
0.9545,0.77,-1.6700000000001776,2.5499999999997325
0.9545,0.78,-1.6400000000001782,2.5599999999997323
0.9545,0.79,-1.6300000000001784,2.569999999999732
0.9545,0.8,-1.600000000000179,2.5899999999997316
0.9545,0.81,-1.5700000000001797,2.5999999999997314
0.9545,0.8200000000000001,-1.56000000000018,2.609999999999731
0.9545,0.8300000000000001,-1.5300000000001805,2.6299999999997308
0.9545,0.84,-1.510000000000181,2.6399999999997306
0.9545,0.85,-1.5000000000001812,2.6499999999997303
0.9545,0.86,-1.4700000000001818,2.66999999999973
0.9545,0.87,-1.4500000000001823,2.6799999999997297
0.9545,0.88,-1.4400000000001825,2.6899999999997295
0.9545,0.89,-1.410000000000183,2.709999999999729
0.9545,0.9,-1.3900000000001835,2.719999999999729
0.9545,0.91,-1.3800000000001837,2.7299999999997286
0.9545,0.92,-1.3600000000001842,2.749999999999728
0.9545,0.93,-1.3400000000001846,2.759999999999728
0.9545,0.9400000000000001,-1.3300000000001848,2.769999999999728
0.9545,0.9500000000000001,-1.3000000000001855,2.7899999999997274
0.9545,0.96,-1.2800000000001859,2.799999999999727
0.9545,0.97,-1.270000000000186,2.809999999999727
0.9545,0.98,-1.2500000000001865,2.8299999999997265
0.9545,0.99,-1.230000000000187,2.8399999999997263
0.9545,1.0,-1.2200000000001872,2.849999999999726
0.9545,1.01,-1.2000000000001876,2.8699999999997257
0.9545,1.02,-1.180000000000188,2.8799999999997254
0.9545,1.03,-1.1700000000001882,2.8899999999997252
0.9545,1.04,-1.1600000000001884,2.899999999999725
0.9545,1.05,-1.1400000000001889,2.9199999999997246
0.9545,1.06,-1.1200000000001893,2.9299999999997244
