alpha,mu,x0,x1
0.6827,0.0,-10.0,0.4799999999997766
0.6827,0.01,-10.0,0.4899999999997764
0.6827,0.02,-5.740000000000091,0.4999999999997762
0.6827,0.03,-3.8200000000001317,0.509999999999776
0.6827,0.04,-2.9000000000001513,0.5199999999997758
0.6827,0.05,-2.4700000000001605,0.5499999999997751
0.6827,0.06,-2.1900000000001665,0.5699999999997747
0.6827,0.07,-2.0000000000001705,0.599999999999774
0.6827,0.08,-1.8700000000001733,0.6299999999997734
0.6827,0.09,-1.7500000000001759,0.6599999999997728
0.6827,0.1,-1.6900000000001771,0.6899999999997721
0.6827,0.11,-1.6100000000001788,0.7099999999997717
0.6827,0.12,-1.5400000000001803,0.7399999999997711
0.6827,0.13,-1.4900000000001814,0.7599999999997706
0.6827,0.14,-1.4300000000001827,0.78999999999977
0.6827,0.15,-1.3900000000001835,0.8099999999997696
0.6827,0.16,-1.3500000000001844,0.8299999999997691
0.6827,0.17,-1.3100000000001852,0.8599999999997685
0.6827,0.18,-1.270000000000186,0.8799999999997681
0.6827,0.19,-1.230000000000187,0.8999999999997677
0.6827,0.2,-1.2000000000001876,0.9199999999997672
0.6827,0.21,-1.1700000000001882,0.9399999999997668
0.6827,0.22,-1.1400000000001889,0.9599999999997664
0.6827,0.23,-1.1100000000001895,0.979999999999766
0.6827,0.24,-1.0800000000001901,0.9999999999997655
0.6827,0.25,-1.0600000000001906,1.019999999999765
0.6827,0.26,-1.0300000000001912,1.0399999999997647
0.6827,0.27,-1.0200000000001914,1.0499999999997645
0.6827,0.28,-0.9900000000001921,1.069999999999764
0.6827,0.29,-0.9700000000001925,1.0899999999997636
0.6827,0.3,-0.9400000000001931,1.1099999999997632
0.6827,0.31,-0.9200000000001936,1.1299999999997627
0.6827,0.32,-0.9100000000001938,1.1399999999997625
0.6827,0.33,-0.8800000000001944,1.159999999999762
0.6827,0.34,-0.8600000000001948,1.1799999999997617
0.6827,0.35000000000000003,-0.850000000000195,1.1899999999997615
